,PM2.5 (µg/m³),PM10 (µg/m³),Ozone (µg/m³),NO2 (µg/m³),NO (µg/m³),SO2 (µg/m³),CO (mg/m³),NH3 (µg/m³)
0,64.65,81.47,101.57,30.85,4.75,56.74,881.2,11.02
1,50.58,64.88,82.97,35.99,2.6,58.65,854.49,10.89
2,44.34,57.92,62.23,45.24,1.75,66.76,894.55,11.53
3,42.66,56.36,43.99,59.63,0.94,82.97,947.95,12.29
4,48.18,64.83,31.11,70.6,0.13,97.28,1054.76,14.57
5,57.58,79.4,24.32,74.71,0.04,102.04,1188.28,18.49
6,66.79,94.14,19.13,77.46,0.09,100.14,1321.79,22.29
7,71.86,100.44,15.38,79.51,0.18,92.51,1388.55,23.81
8,73.25,98.81,14.13,76.77,0.22,82.97,1401.9,23.56
9,66.18,86.32,17.35,68.55,0.11,75.34,1281.74,20.27
